MST KRUSKAL


0 	 2 	 0.100000
7 	 2 	 0.100000
9 	 2 	 0.100000
10 	 2 	 0.100000
17 	 2 	 0.100000
34 	 2 	 0.100000
39 	 2 	 0.100000
48 	 2 	 0.100000
128 	 2 	 0.100000
132 	 2 	 0.100000
0 	 3 	 0.141421
0 	 4 	 0.141421
0 	 5 	 0.141421
0 	 6 	 0.141421
1 	 2 	 0.141421
8 	 2 	 0.141421
12 	 2 	 0.141421
19 	 2 	 0.141421
21 	 2 	 0.141421
27 	 2 	 0.141421
28 	 2 	 0.141421
29 	 2 	 0.141421
30 	 2 	 0.141421
37 	 2 	 0.141421
38 	 2 	 0.141421
40 	 2 	 0.141421
45 	 2 	 0.141421
46 	 2 	 0.141421
47 	 2 	 0.141421
49 	 2 	 0.141421
57 	 2 	 0.141421
63 	 2 	 0.141421
65 	 2 	 0.141421
75 	 2 	 0.141421
80 	 2 	 0.141421
81 	 2 	 0.141421
82 	 2 	 0.141421
91 	 2 	 0.141421
92 	 2 	 0.141421
93 	 2 	 0.141421
95 	 2 	 0.141421
96 	 2 	 0.141421
99 	 2 	 0.141421
116 	 2 	 0.141421
127 	 2 	 0.141421
137 	 2 	 0.141421
138 	 2 	 0.141421
25 	 2 	 0.173205
69 	 2 	 0.173205
88 	 2 	 0.173205
94 	 2 	 0.173205
112 	 2 	 0.173205
123 	 2 	 0.173205
126 	 2 	 0.173205
139 	 2 	 0.173205
23 	 2 	 0.200000
26 	 2 	 0.200000
42 	 2 	 0.200000
53 	 2 	 0.200000
66 	 2 	 0.200000
74 	 2 	 0.200000
78 	 2 	 0.200000
84 	 2 	 0.200000
89 	 2 	 0.200000
97 	 2 	 0.200000
11 	 2 	 0.223607
35 	 2 	 0.223607
43 	 2 	 0.223607
70 	 2 	 0.223607
73 	 2 	 0.223607
110 	 2 	 0.223607
120 	 2 	 0.223607
143 	 2 	 0.223607
147 	 2 	 0.223607
13 	 2 	 0.244949
54 	 2 	 0.244949
58 	 2 	 0.244949
67 	 2 	 0.244949
103 	 2 	 0.244949
136 	 2 	 0.244949
140 	 2 	 0.244949
141 	 2 	 0.244949
144 	 2 	 0.244949
145 	 2 	 0.244949
146 	 2 	 0.244949
148 	 2 	 0.244949
50 	 2 	 0.264575
51 	 2 	 0.264575
52 	 2 	 0.264575
56 	 2 	 0.264575
68 	 2 	 0.264575
87 	 2 	 0.264575
90 	 2 	 0.264575
101 	 3 	 0.264575
105 	 2 	 0.264575
107 	 2 	 0.264575
113 	 2 	 0.264575
122 	 2 	 0.264575
130 	 2 	 0.264575
142 	 3 	 0.264575
20 	 2 	 0.282843
31 	 2 	 0.282843
86 	 2 	 0.282843
149 	 2 	 0.282843
24 	 2 	 0.300000
27 	 14 	 0.300000
36 	 2 	 0.300000
55 	 2 	 0.300000
61 	 2 	 0.300000
104 	 2 	 0.300000
115 	 2 	 0.300000
124 	 2 	 0.300000
27 	 15 	 0.316228
76 	 2 	 0.316228
77 	 2 	 0.316228
121 	 2 	 0.316228
18 	 2 	 0.331662
27 	 16 	 0.331662
71 	 2 	 0.331662
83 	 2 	 0.331662
133 	 2 	 0.331662
32 	 2 	 0.346410
33 	 2 	 0.346410
79 	 2 	 0.346410
111 	 2 	 0.346410
125 	 2 	 0.346410
129 	 2 	 0.346410
44 	 2 	 0.360555
60 	 2 	 0.360555
72 	 2 	 0.360555
49 	 22 	 0.374166
85 	 2 	 0.374166
59 	 2 	 0.387298
98 	 2 	 0.387298
102 	 2 	 0.387298
117 	 2 	 0.412311
118 	 2 	 0.412311
131 	 2 	 0.412311
64 	 2 	 0.424264
100 	 2 	 0.424264
119 	 2 	 0.435890
62 	 2 	 0.489898
114 	 2 	 0.489898
134 	 2 	 0.538516
135 	 2 	 0.538516
108 	 2 	 0.556776
41 	 2 	 0.624500
109 	 2 	 0.632456
106 	 2 	 0.734847


CUSTO TOTAL DA ARVORE:   36.925836 

